0x680, Time,74, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0
0x251, Time,8744, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8753, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8773, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8793, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8813, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8833, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8853, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8873, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8893, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8913, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8933, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8953, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8973, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,8993, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9113, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9133, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9153, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9173, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9193, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9213, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9233, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9253, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9273, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9293, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9313, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9446, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9453, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9473, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9493, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,9513, Controller Temp,360, Motor Temp,389, Fault Code,2
